Hour,Microgrid,DER,Type,P_kW,Q_kvar,Rating_kVA
16,MG2,mg2_gen1,Solar,112.498808053195,-0.0010452298462196267,375.0
16,MG2,mg2_gen5,Solar,112.49876500710235,-0.001073195807828597,375.0
16,MG2,mg2_gen3,Battery,-0.0,-0.0,50.0
16,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
16,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
16,MG3,stor42,Battery,-0.0,-0.0,1200.0
16,MG3,gen401,Diesel,-0.0,-0.0,1200.0
16,MG4,stor105,Battery,-0.0,-0.0,1200.0
16,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
17,MG1,mg1_gen1,Solar,12.499955997129325,-4.559241867826813e-05,125.0
17,MG1,mg1_gen2,Solar,12.499956015371657,-4.555630559519841e-05,125.0
17,MG1,mg1_gen3,Battery,68.39975955427484,-0.00024891092824736913,100.0
17,MG1,mg1_gen4,Diesel,-0.0,-0.0,350.0
17,MG2,mg2_gen1,Solar,37.49981303410317,-0.00018252610583090244,375.0
17,MG2,mg2_gen5,Solar,37.49980798959457,-0.0001856604076692747,375.0
17,MG2,mg2_gen3,Battery,34.19982779144757,-0.00016750421114420532,50.0
17,MG2,mg2_gen4,Diesel,-0.0,-0.0,750.0
17,MG2,mg2_gen6,Diesel_support,-0.0,-0.0,750.0
17,MG3,stor42,Battery,-0.0,-0.0,1200.0
17,MG3,gen401,Diesel,-0.0,-0.0,1200.0
17,MG4,stor105,Battery,-0.0,-0.0,1200.0
17,MG4,gen1011,Diesel,-0.0,-0.0,1200.0
18,MG1,mg1_gen1,Solar,-0.0,-0.0,125.0
18,MG1,mg1_gen2,Solar,-0.0,-0.0,125.0
18,MG1,mg1_gen3,Battery,98.80000000001502,-1.0484143331268569e-11,100.0
18,MG1,mg1_gen4,Diesel_grid_forming,132.3950423144741,122.82899312337479,350.0
18,MG2,mg2_gen1,Solar,-0.0,-0.0,375.0
18,MG2,mg2_gen5,Solar,-0.0,-0.0,375.0
18,MG2,mg2_gen3,Battery,49.39999607523811,-2.523154259904459e-06,50.0
18,MG2,mg2_gen4,Diesel_grid_forming,427.679624478277,-114.16768228992774,750.0
18,MG2,mg2_gen6,Diesel_support,427.6283330632824,-114.69926406322513,750.0
18,MG3,stor42,Battery,-0.0,-0.0,1200.0
18,MG3,gen401,Diesel_grid_forming,1001.6878318496167,322.090680436384,1200.0
